Context,Epsilon,Delta,Aproximation_type,Distribution_type,Threads,Total_execution_time,Total_time,Total_exec_time_2,Total_closure_time,Updown_time,Total_closure_computations,Total_up_down_computes,Basis_size,Total_counter_examples,Sum_total_tries,Equal_to_count,Empty_set_closure_computes,Support_avg,Support_p10,Support_p50,Support_p90,Support_p95
StandardDS/nom10shuttle.txt,0.1,0.1,strong,area-based,8,6.812157,1.256902,5.353574,0.020039,6.497273,3022,46748,199,383,4865,696,30417,5.121273,12.027586,1.337931,0.002299,0.000000
StandardDS/inter10shuttle.txt,0.1,0.1,weak,uniform,8,1.183382,0.279831,0.289645,0.000000,0.013230,171,14845,171,171,29,15,14428,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,weak,frequent,8,1.215364,0.279508,0.288128,0.000000,0.044859,171,14844,171,171,29,-20,14430,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,weak,area-based,8,1.231974,0.279471,0.290706,0.000000,0.055568,171,14867,171,171,29,-33,14436,43.872743,99.990805,5.836782,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,strong,uniform,8,1.187886,0.283269,0.293292,0.003791,0.013645,524,15441,172,191,353,3189,14667,43.617669,99.990805,5.802299,0.004598,0.002299
StandardDS/inter10shuttle.txt,0.1,0.1,strong,frequent,8,116.515921,11.950666,103.878354,0.694170,113.914528,30827,461067,435,2637,30664,228980,269670,35.263993,99.983908,11.354023,0.009195,0.004598
StandardDS/inter10shuttle.txt,0.1,0.1,strong,area-based,8,105.556100,11.038927,93.843318,0.634218,103.042834,28476,423686,424,2456,28314,211742,250757,35.934092,99.983908,11.363218,0.009195,0.006897
StandardDS/chess.txt,0.1,0.1,weak,uniform,8,0.040638,0.007733,0.007596,0.000000,0.001033,48,1273,48,48,29,0,1120,30.813256,73.372966,24.687109,1.470588,0.469337
StandardDS/chess.txt,0.1,0.1,weak,frequent,8,0.041513,0.007880,0.007750,0.000000,0.001356,48,1353,49,49,62,-5,1163,30.226559,73.372966,24.687109,1.470588,0.469337
StandardDS/chess.txt,0.1,0.1,weak,area-based,8,0.042205,0.008288,0.007920,0.000000,0.001178,48,1276,48,48,29,-7,1119,30.813256,73.372966,24.687109,1.470588,0.469337
StandardDS/census.txt,0.1,0.1,weak,uniform,8,0.227455,0.030842,0.012403,0.000000,0.002389,41,1010,41,41,29,-3,812,5.039695,16.430531,1.707547,0.047091,0.030711
StandardDS/census.txt,0.1,0.1,weak,frequent,8,77.420619,1.978127,75.237396,0.000000,76.789750,41,532600,933,1199,24708,1929,261773,0.435591,0.706359,0.018427,0.002047,0.002047
StandardDS/census.txt,0.1,0.1,weak,area-based,8,1588.006844,9.383808,1578.391009,0.000000,1583.470073,41,10440070,3936,5909,147893,10972,4859377,0.135195,0.133082,0.016379,0.002047,0.002047
StandardDS/mushroom.txt,0.1,0.1,weak,uniform,8,0.082234,0.013996,0.020421,0.000000,0.019314,118,655,6,35,445,38,1,19.481372,100.000000,1.181684,0.443131,0.443131
StandardDS/mushroom.txt,0.1,0.1,weak,frequent,8,0.906104,0.068780,0.784909,0.000000,0.807780,118,11518,74,218,4644,910,1,25.306732,53.963565,20.088626,2.363368,0.393895
StandardDS/mushroom.txt,0.1,0.1,weak,area-based,8,1.000973,0.073014,0.875832,0.000000,0.897084,118,12709,77,240,4882,933,1,24.359122,54.948301,19.497784,2.954210,1.969473
StandardDS/mushroom.txt,0.1,0.1,strong,uniform,8,0.658780,0.014772,0.594630,0.001575,0.579859,368,5228,95,111,253,1117,1,11.694006,29.197440,5.317578,0.295421,0.098474
StandardDS/mushroom.txt,0.1,0.1,strong,frequent,8,50.272415,0.867811,49.344077,0.439083,49.356278,36392,622731,635,1946,36370,41321,1,11.424960,24.913836,7.385524,1.181684,0.590842
